城市,名字,评分,户型,出租类型,可住几人,价格,图片地址
beijing,舒适四人间2(可停车 带阳台大窗户，公共厨具 卫生间 电器 一次性洗漱用品 纸巾 马桶垫),"
                                        5.0
                                    ",2室,单间出租,宜住4人,￥392,//pics.muniao.com//UploadFiles/root/thumb/240607/d104ba3764d4486490b9d9f534c9588c.png_414_262.png
beijing,舒适三人间1(可停车 带阳台大窗户，公共厨具 卫生间 电器 一次性洗漱用品 纸巾 马桶垫),"
                                        5.0
                                    ",2室,单间出租,宜住3人,￥180,//pics.muniao.com//UploadFiles/root/room/1201373/thumb/9a89397be2344048bf38b24bba7a18f7.jpg_414_262.jpg
beijing,舒适一人间1【可停车．带阳台大窗户．公共厨具／卫生间／电器（一次性洗漱用品／纸巾／马桶垫）】,"
                                        5.0
                                    ",2室,单间出租,宜住1人,￥115,//pics.muniao.com//UploadFiles/root/thumb/240607/f0f0fee9acc441338570e12fbab1bc2f.png_414_262.png
beijing,舒适两人间5【可停车．带阳台大窗户．公共厨具／卫生间／电器（一次性洗漱用品／纸巾／马桶垫）】,"
                                        5.0
                                    ",2室,单间出租,宜住2人,￥150,//pics.muniao.com//UploadFiles/root/thumb/240607/1ce91f4c231145bd93075f4eb6c89444.png_414_262.png
beijing,舒适四人间3(可停车 带阳台大窗户，公共厨具 卫生间 电器 一次性洗漱用品 纸巾 马桶垫),"
                                        5.0
                                    ",2室,单间出租,宜住4人,￥200,//pics.muniao.com//UploadFiles/root/thumb/240607/197e6308798945988c187def7ba2d0de.png_414_262.png
beijing,舒适三人间4(可停车 带阳台大窗户，公共厨具 卫生间 电器 一次性洗漱用品 纸巾 马桶垫),"
                                        5.0
                                    ",2室,单间出租,宜住3人,￥180,//pics.muniao.com//UploadFiles/root/thumb/240607/39228b0aff5643c5a21a30c8e97e84d2.png_414_262.png
beijing,舒适四人间5(可停车 带阳台大窗户，公共厨具 卫生间 电器 一次性洗漱用品 纸巾 马桶垫),"
                                        5.0
                                    ",2室,单间出租,宜住4人,￥180,//pics.muniao.com//UploadFiles/root/thumb/240607/1bf471e13b584d1eab79e7ef05527107.png_414_262.png
beijing,舒适二人间【可停车．带阳台大窗户．公共厨具／卫生间／电器（一次性洗漱用品／纸巾／马桶垫）】,"
                                        5.0
                                    ",2室,单间出租,宜住2人,￥275,//pics.muniao.com//UploadFiles/root/thumb/240607/63ac97be3acc4d4c92c3bcb029169fdb.png_414_262.png
beijing,舒适一人间3【可停车．带阳台大窗户．公共厨具／卫生间／电器（一次性洗漱用品／纸巾／马桶垫）】,"
                                        5.0
                                    ",2室,单间出租,宜住1人,￥189,//pics.muniao.com//UploadFiles/root/thumb/240607/9749a067cc2a466c975a16fb8186582f.png_414_262.png
beijing,漫时光*米露演唱会近清河站北体鸟巢水立方颐和园八达岭长城直达|超清巨幕影院|可做饭|近清华北大|可聚,"
                                        5.0
                                    ",1室,整租,宜住4人,￥666,//pics.muniao.com//UploadFiles/root/thumb/240607/dc8ee5b03cf4405c86426e29837bc81d.jpg_414_262.jpg
beijing,漫时光·雅居|巨幕投影|浴缸房|可做饭|大落地飘窗,"
                                        5.0
                                    ",1室,整租,宜住4人,￥666,//pics.muniao.com//UploadFiles/root/thumb/240607/d2e5b2a2545649df82ee5bf0082f37a1.jpg_414_262.jpg
beijing,漫时光*绿野仙|演唱会近北体鸟巢水立方颐和园动物园|超清巨幕影院|做饭|近清华北大|可聚会可住2-4,"
                                        5.0
                                    ",1室,整租,宜住4人,￥666,//pics.muniao.com//UploadFiles/root/thumb/240607/5fa10385009e4ffab671cd009a652b8f.jpg_414_262.jpg
beijing,漫时光*浪漫满屋超大落地窗/近颐和园圆明园/北大清华/可做饭/出差/情侣/巨幕投影,"
                                        5.0
                                    ",1室,整租,宜住4人,￥666,//pics.muniao.com//UploadFiles/root/thumb/240607/e465195c6f0f410ea2fda51b2718644f.jpg_414_262.jpg
beijing,漫时光短租|可长租|近望京SOHO|凯德MALL|巨幕投影|可做饭|近地铁|可住四人人,"
                                        5.0
                                    ",1室,整租,宜住4人,￥666,//pics.muniao.com//UploadFiles/root/thumb/240607/98ec912136ac42d69ba63708c226f9f6.jpg_414_262.jpg
beijing,清漫时光*暖居|演唱会北体鸟巢水立方颐和园动物园|超清巨幕影院|可做饭|近清华北大|可聚会可住2-4,"
                                        5.0
                                    ",1室,整租,宜住3人,￥666,//pics.muniao.com//UploadFiles/root/thumb/240607/d813306e3b98423f9666fc93609af9cf.jpg_414_262.jpg
beijing,漫时光*晨曦|近清河站北大清华颐和园圆明园，鸟巢，水立方|极米高清投影仪|超大落地窗,"
                                        5.0
                                    ",1室,整租,宜住4人,￥714,//pics.muniao.com//UploadFiles/root/thumb/240607/fcd8de644d77461f9a4c7e2dab070e57.jpg_414_262.jpg
beijing,漫时光*典雅美宿演唱会|超级合生汇鸟巢水立方奥森|可做饭|巨幕投影|超大落地窗|,"
                                        5.0
                                    ",2室,整租,宜住6人,￥760,//pics.muniao.com//UploadFiles/root/thumb/240607/8e74eaf9ef14445d8b0fe64f2e4eab8e.jpg_414_262.jpg
beijing,漫时光*森缘美宿|超大落地窗/近颐和园圆明园/北大清华/可做饭/出差/情侣/巨幕投影,"
                                        5.0
                                    ",1室,整租,宜住4人,￥660,//pics.muniao.com//UploadFiles/root/thumb/240607/7973b7a7005e42e896c9112d2215df6a.jpg_414_262.jpg
beijing,漫时光*馨美宿|演唱会近清河站北体鸟巢水立方颐和园八达岭长城直达|超清巨幕影院|可做饭|近清华北大|,"
                                        5.0
                                    ",1室,整租,宜住4人,￥666,//pics.muniao.com//UploadFiles/root/thumb/240607/e488435748b34004afc5632155e02f23.jpg_414_262.jpg
beijing,御道山居私汤民宿(古北口水镇店）御道山居8居包院（免费早餐）,"
                                        5.0
                                    ",8室,整租,宜住19人,￥6300,//pics.muniao.com//UploadFiles/root/thumb/240607/235038a74a5343dd9abdb2278a0338b1.jpg_414_262.jpg
beijing,御道山居私汤(古北口水镇店）（铭菏）中式大床房（免费早餐）,"
                                        5.0
                                    ",1室,整租,宜住2人,￥599,//pics.muniao.com//UploadFiles/root/thumb/240607/b4225edf4bbb423c98e79190ea6c279e.jpg_414_262.jpg
beijing,御道山居私汤(古北口水镇店）特惠中式大床房（免费早餐）,"
                                        5.0
                                    ",1室,整租,宜住2人,￥599,//pics.muniao.com//UploadFiles/root/thumb/240606/9e5b9dd66a8746e189bcf3da287ad623.jpg_414_262.jpg
beijing,漫时光可做饭超级合生汇 巨幕家庭影院 超大落地窗 时尚loft 可住6人,"
                                        5.0
                                    ",2室,整租,宜住6人,￥760,//pics.muniao.com//UploadFiles/root/thumb/240606/36bc72d3aa2e4d3789de36ad214c8af4.png_414_262.png
beijing,【巷往10】上岸地铁站/长安街西延/龙湖天街/精装LOFT/可做饭/首钢园/谭拓寺,"
                                        5.0
                                    ",2室,整租,宜住4人,￥260,//pics.muniao.com//UploadFiles/root/thumb/240606/31d8436c2ccf4f64847d4e3357cb7a6a.jpg_414_262.jpg
beijing,北京晏月台度假村/标准园景双床房/含双早/亲近自然亲近自然自然风光/舒适的住宿环境/宁静与放松/,"
                                        5.0
                                    ",1室,整租,宜住2人,￥1380,//pics.muniao.com//UploadFiles/root/thumb/240606/3fe7ee495d184752b1c9e4f1f93801d7.jpg_414_262.jpg
beijing,北京晏月台度假村/舒月阁/含4早/4张1.2米榻榻米床/亲子设施/ 特色住宿/自然风光,"
                                        5.0
                                    ",2室,整租,宜住4人,￥3280,//pics.muniao.com//UploadFiles/root/thumb/240606/70da4d0ef62244319cf294d6022b31e2.jpg_414_262.jpg
beijing,北京晏月台度假村/望月小筑温馨6居/含12早/四合院设计/房间类型多样/玻璃暖房/周边环境优美/设施,"
                                        5.0
                                    ",6室,整租,宜住12人,￥13680,//pics.muniao.com//UploadFiles/root/thumb/240606/0db9ddbd324344f28bd1ae4cb54d409f.jpg_414_262.jpg
beijing,北京晏月台度假村/亲子套房/含双早/自然风光/亲子设施/特色活动/餐饮服务/私汤温泉,"
                                        5.0
                                    ",1室,整租,宜住3人,￥1980,//pics.muniao.com//UploadFiles/root/thumb/240606/7bc740eaf4d2470ab42b8500d7b5b6b7.png_414_262.png
beijing,暖暖亲子短租/欢乐整栋/怀柔区/黑龙潭/云蒙三峪/景色优美/空气清新/干净卫生/欢迎入住！,"
                                        5.0
                                    ",4室,整租,宜住10人,￥3250,//pics.muniao.com//UploadFiles/root/room/1200507/thumb/f3b165d11c1c43d78159d8c372dfd037.jpg_414_262.jpg
beijing,暖暖亲子短租/温馨舒适双床房①/怀柔区/黑龙潭/云蒙三峪/景色优美/空气清新/干净卫生/欢迎入住！,"
                                        5.0
                                    ",4室,单间出租,宜住3人,￥1500,//pics.muniao.com//UploadFiles/root/thumb/240606/67a75e7d7ee04ebab5fcef4f0e894bd1.jpg_414_262.jpg
beijing,暖暖亲子短租/温馨舒适亲子房④/怀柔区/黑龙潭/云蒙三峪/景色优美/空气清新/干净卫生/欢迎入住！,"
                                        5.0
                                    ",4室,单间出租,宜住3人,￥1500,//pics.muniao.com//UploadFiles/root/thumb/240606/e5516a08957e49b0a0eb427722fd991c.jpg_414_262.jpg
beijing,暖暖亲子短租/温馨舒适双床房③/怀柔区/黑龙潭/云蒙三峪/景色优美/空气清新/干净卫生/欢迎入住！,"
                                        5.0
                                    ",4室,单间出租,宜住4人,￥1500,//pics.muniao.com//UploadFiles/root/room/1200499/thumb/d29871a47d80465a920b76d617634c53.jpg_414_262.jpg
beijing,暖暖亲子短租/温馨舒适双床房②/怀柔区/黑龙潭/云蒙三峪/景色优美/空气清新/干净卫生/欢迎入住！,"
                                        5.0
                                    ",4室,单间出租,宜住4人,￥1500,//pics.muniao.com//UploadFiles/root/thumb/240606/652e1478acf040318f9af25440b8f416.jpg_414_262.jpg
beijing,【觅宿•渠】临地铁/天安门/7&10号双地铁/天坛大栅栏/国贸CBD/直达北京西,"
                                        5.0
                                    ",2室,整租,宜住4人,￥518,//pics.muniao.com//UploadFiles/root/room/1200247/thumb/5cbe626b56ec4a528f115c72d1d8d310.jpg_414_262.jpg
beijing,【巷往12】上岸地铁/长安街西延/龙湖天街//首钢园/谭拓寺/可做饭/长租短租,"
                                        5.0
                                    ",2室,整租,宜住4人,￥260,//pics.muniao.com//UploadFiles/root/thumb/240605/ad9cf60b109e454db885408b6c5f8919.jpg_414_262.jpg
beijing,高品质公寓/绿地/金融长安中心/石景山游乐场//首钢园/凯迪拉克中心/紧邻地铁1号古城站,"
                                        5.0
                                    ",2室,整租,宜住4人,￥535,//pics.muniao.com//UploadFiles/root/thumb/240605/e3facfaac513434a80d65ccad035c9db.jpg_414_262.jpg
beijing,【巷往9】上岸地铁站/长安街西延/龙湖天街/精装LOFT/可做饭/首钢园/谭拓寺/长租短租,"
                                        5.0
                                    ",2室,整租,宜住4人,￥260,//pics.muniao.com//UploadFiles/root/thumb/240605/00481729459e4c62ae0c864be660d1d8.jpg_414_262.jpg
beijing,3分钟到地铁/10分钟到北京西站/丽泽商务区/京西肿瘤y院/一室两床/,"
                                        5.0
                                    ",1室,整租,宜住3人,￥398,//pics.muniao.com//UploadFiles/root/thumb/240605/610222c9b7cc4e7cac01976047ffc375.jpg_414_262.jpg
beijing,【优质家庭房】天坛y院800米/北京西站/丰台火车站/双地铁30米/两室四床可住6-8人,"
                                        5.0
                                    ",2室,整租,宜住8人,￥699,//pics.muniao.com//UploadFiles/root/thumb/240605/3369d6c2968049dab888e81a26559560.jpg_414_262.jpg
beijing,【优质房源】近天坛y院800米/两室/,"
                                        5.0
                                    ",2室,整租,宜住2人,￥599,//pics.muniao.com//UploadFiles/root/thumb/240605/c0a5bb9a9f8a48c499d6cbaa949821ab.jpg_414_262.jpg
beijing,温馨双床房/北京西站10分钟/天/安门/六里桥客运站/京西肿瘤/y院/儿童Y院,"
                                        5.0
                                    ",1室,整租,宜住3人,￥499,//pics.muniao.com//UploadFiles/root/thumb/240605/ace6c4cd361043d7901c4f1a86a0e57d.jpg_414_262.jpg
beijing,家庭房/北京西站/六里桥/丽泽商务区/天安/门/世纪坛y院/地铁9，10号线,"
                                        5.0
                                    ",2室,整租,宜住4人,￥599,//pics.muniao.com//UploadFiles/root/thumb/240605/990ea52139164e95b94da6bcb7aac01e.jpg_414_262.jpg
beijing,优质房源 天坛医.院800米/整套一室两床/长租优惠/病友优惠/可做饭,"
                                        5.0
                                    ",1室,整租,宜住4人,￥499,//pics.muniao.com//UploadFiles/root/thumb/240605/ad15cec402ae4f948ec6cb55d00c17c8.jpg_414_262.jpg
beijing,【可短租/长租】一室/北京西站10分钟/京西肿瘤y院/世纪坛y院/地铁9，10号,"
                                        5.0
                                    ",1室,整租,宜住2人,￥469,//pics.muniao.com//UploadFiles/root/thumb/240605/c3b8c00d73f54f9083833db2d2489124.jpg_414_262.jpg
beijing,裟椤,"
                                        5.0
                                    ",1室,整租,宜住4人,￥800,//pics.muniao.com//UploadFiles/root/room/1199563/thumb/92067a88095b474cb5e289b407b6daaa.jpg_414_262.jpg
beijing,临地铁近二环天安门故宫欢乐谷肿瘤科学院精装两居,"
                                        5.0
                                    ",2室,整租,宜住5人,￥388,//pics.muniao.com//UploadFiles/root/thumb/240605/fba0df8ba92f4986949da56350c289f5.jpg_414_262.jpg
beijing,临地铁近二环潘家园天安门故宫中科院华威西里两居/春节可订精装修两居室,"
                                        5.0
                                    ",2室,整租,宜住5人,￥388,//pics.muniao.com//UploadFiles/root/thumb/240605/1b09c295753b465e968aea6dfb06fbf4.jpg_414_262.jpg
beijing,近天安门/前门故宫三居室,"
                                        5.0
                                    ",3室,整租,宜住6人,￥728,//pics.muniao.com//UploadFiles/root/room/1199115/thumb/013b4a6a2acc4b44bb49724c8c683dc4.jpg_414_262.jpg
beijing,【小米团-在水一方】豪华LOFT 极米4K投影 可住4人,"
                                        5.0
                                    ",1室,整租,宜住4人,￥380,//pics.muniao.com//UploadFiles/root/thumb/240604/f08efb4010d04e139b0a6a6b96785abe.jpg_414_262.jpg
beijing,【小米团-秋水伊人】豪华LOFT  极米4k投影   双床大户型,"
                                        5.0
                                    ",1室,整租,宜住4人,￥400,//pics.muniao.com//UploadFiles/root/thumb/240604/70127ebeea024fb2bd03f6315680815c.jpg_414_262.jpg
beijing,【十三幺】11麻雀房，一客一消毒安心入住！紧临潭柘寺戒台寺十八潭 妙峰山，近商圈近医院大客厅落地飘窗,"
                                        5.0
                                    ",1室,整租,宜住2人,￥380,//pics.muniao.com//UploadFiles/root/thumb/240604/a333001cb9f7445db260ec8dd36b4ba8.jpg_414_262.jpg
beijing,02妙莲苏苏-桃色/标准一室一厅，近潭柘寺/妙峰山/门头沟妇幼医院大客厅落地窗,"
                                        5.0
                                    ",1室,整租,宜住2人,￥380,//pics.muniao.com//UploadFiles/root/thumb/240604/4827da290feb4b56b6ad404f5b355f22.jpg_414_262.jpg
beijing,【静馨苏苏】07京都民宿/客客消毒/紧临葡山公园/大落地飘窗私享温馨小屋/近潭柘寺/戒台寺定都阁,"
                                        5.0
                                    ",2室,整租,宜住3人,￥520,//pics.muniao.com//UploadFiles/root/thumb/240604/d9e80ffd855041e28a438b68c98f700d.jpg_414_262.jpg
beijing,小米团-盛夏光年 LOFT 百寸极米投影 哈曼卡顿音响,"
                                        5.0
                                    ",1室,整租,宜住2人,￥350,//pics.muniao.com//UploadFiles/root/thumb/240604/fffe497b23f549baa9cd728904b5a6fc.jpg_414_262.jpg
beijing,03妙莲苏苏-桃梵/标准一室一厅，近潭柘寺/妙峰山/妇幼保健院,"
                                        5.0
                                    ",1室,整租,宜住2人,￥380,//pics.muniao.com//UploadFiles/root/thumb/240604/61b0eedee83b492ea2d032828cecbc6c.jpg_414_262.jpg
beijing,【小米团-云梦阁】高清投影   百子湾   可做饭   安静小区,"
                                        5.0
                                    ",1室,整租,宜住2人,￥330,//pics.muniao.com//UploadFiles/root/thumb/240604/e5034a31c54e4e8b9564755102c1b835.jpg_414_262.jpg
beijing,【小米团-一叶知秋】LOFT   极米4k投影   南向超大户型   可住4人,"
                                        5.0
                                    ",1室,整租,宜住4人,￥380,//pics.muniao.com//UploadFiles/root/thumb/240604/bb7829e8386748acb9a90669175f91e5.jpg_414_262.jpg
beijing,【绿藤美居可长租 可月租】青苹乐园-北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*/精美,"
                                        5.0
                                    ",1室,整租,宜住2人,￥228,//pics.muniao.com//UploadFiles/root/thumb/240603/0a538f63f6e84d709bbf0885b6cfcb79.jpg_414_262.jpg
beijing,【绿藤美居可长租 可月租】亚瑟空间北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*/精美大,"
                                        5.0
                                    ",1室,整租,宜住2人,￥228,//pics.muniao.com//UploadFiles/root/thumb/240603/cc980c483f73480195065e0fee47e090.jpg_414_262.jpg
beijing,【可长租，月租】蓝心飞行-靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海*精美大床房地坛西门,"
                                        5.0
                                    ",1室,整租,宜住2人,￥278,//pics.muniao.com//UploadFiles/root/thumb/240603/7729ac8c618d403f94d6def2d4c85a18.jpg_414_262.jpg
beijing,【绿藤美居可长租 可月租】古典红韵-北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*/精美,"
                                        5.0
                                    ",1室,整租,宜住2人,￥228,//pics.muniao.com//UploadFiles/root/thumb/240603/890f88cc214e40fd92724136967c1cd0.jpg_414_262.jpg
beijing,【绿藤美居可长租 可月租】女王驾到-北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*精美大,"
                                        5.0
                                    ",1室,整租,宜住2人,￥278,//pics.muniao.com//UploadFiles/root/thumb/240603/a38c0b0d9b7d4a3ab0cd7751b8603a36.jpg_414_262.jpg
beijing,【绿藤美居可月租 长租】蓝色之恋北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*/精美大床,"
                                        5.0
                                    ",1室,整租,宜住2人,￥248,//pics.muniao.com//UploadFiles/root/thumb/240603/46c05c636a534fe8a5dc5a497a459a54.jpg_414_262.jpg
beijing,【绿藤美居】粉红回忆-长租 月租 靠近安定门地铁/雍和宫/地坛精美大床房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥278,//pics.muniao.com//UploadFiles/root/thumb/240603/212127a00c7b440c9d0584e4513f76a4.jpg_414_262.jpg
beijing,【绿藤美居】煌城色彩北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*/精美大床房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥228,//pics.muniao.com//UploadFiles/root/thumb/240603/544ded62dce54d769746896398800390.jpg_414_262.jpg
beijing,【绿藤美居可长租 可月租】开心柔柔-北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*/精美,"
                                        5.0
                                    ",1室,整租,宜住3人,￥398,//pics.muniao.com//UploadFiles/root/thumb/240603/a3edbd3e8d9f4e34b2edb09a1c6a49fd.jpg_414_262.jpg
beijing,【绿藤美居可长租可月租】羽衣米亚-北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*/精美大,"
                                        5.0
                                    ",1室,整租,宜住2人,￥248,//pics.muniao.com//UploadFiles/root/thumb/240603/e05501eccdaa4dbb80c60e2d97751300.jpg_414_262.jpg
beijing,【绿藤美居可长租可月租】单身情歌-北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*精美单人,"
                                        5.0
                                    ",1室,整租,宜住1人,￥218,//pics.muniao.com//UploadFiles/root/thumb/240603/2bb4efd4154a4b1cb3fc6d63a6be602d.jpg_414_262.jpg
beijing,【绿藤美居可长租可月租】捕梦爱情-北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*/精美大,"
                                        5.0
                                    ",1室,整租,宜住2人,￥278,//pics.muniao.com//UploadFiles/root/thumb/240603/7d7a04335ac34876aefa062e12cdfbf0.jpg_414_262.jpg
beijing,【可长租 】情感单车-北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海*精美单人房,"
                                        5.0
                                    ",1室,整租,宜住1人,￥218,//pics.muniao.com//UploadFiles/root/thumb/240603/6b42cb88325f4292b109314fc3edf143.jpg_414_262.jpg
beijing,【绿藤美居可长租可月租】圆轮-北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*/精美大床房,"
                                        5.0
                                    ",1室,整租,宜住3人,￥398,//pics.muniao.com//UploadFiles/root/thumb/240603/971204b8b63e452a937cf572fcf273ef.jpg_414_262.jpg
beijing,【绿藤美居可长租可月租】星河璀璨-北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*精美大床,"
                                        5.0
                                    ",1室,整租,宜住2人,￥278,//pics.muniao.com//UploadFiles/root/thumb/240603/ce2357f0080e4fd7b640263b08a5658e.jpg_414_262.jpg
beijing,【可长租月租】奇幻暖屋-北二环安定门地铁/五道营胡同/雍和宫精美大床房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥228,//pics.muniao.com//UploadFiles/root/thumb/240603/5851fad5d7ce437c86d5329bf700920a.jpg_414_262.jpg
beijing,【可长租月租】绿藤美居-青柠空间北二环安定门地铁/五道营胡同/雍和宫精美大床房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥228,//pics.muniao.com//UploadFiles/root/thumb/240603/9b5fbe6c4dd64669a80903601dccff22.jpg_414_262.jpg
beijing,【绿藤美居可长租 可月租】紫萝霓纱-北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*/精美,"
                                        5.0
                                    ",1室,整租,宜住2人,￥278,//pics.muniao.com//UploadFiles/root/thumb/240603/6ec0a40f55a840d6a865572193394cb7.jpg_414_262.jpg
beijing,【可长租】南屏之恋-北二环靠近安定门地铁/五道营胡同/雍和宫/精美投影房,"
                                        5.0
                                    ",1室,整租,宜住2人,￥248,//pics.muniao.com//UploadFiles/root/thumb/240603/76e062f08ab34f2294cc4ff935a7d67b.jpg_414_262.jpg
beijing,【绿藤美居可长租可月租】绿瑞欣欣-北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*/精美大,"
                                        5.0
                                    ",1室,整租,宜住2人,￥278,//pics.muniao.com//UploadFiles/root/thumb/240603/1c13b992ace647aba4a7add1c4df88dd.jpg_414_262.jpg
beijing,【绿藤美居可长租 可短租】天空之境-北二环靠近安定门地铁/五道营胡同/雍和宫/南锣鼓/后海/*/精美,"
                                        5.0
                                    ",1室,整租,宜住2人,￥248,//pics.muniao.com//UploadFiles/root/thumb/240603/80ad127f5b5140828598345c9217d7b7.jpg_414_262.jpg
beijing,可月租/大族广场/丰大国际/荣京丽都/财富中心/荣京东街地铁/投影机可以看电影,"
                                        5.0
                                    ",1室,整租,宜住1人,￥468,//pics.muniao.com//UploadFiles/root/thumb/240603/28556fd27d154381b459eeba09400462.jpg_414_262.jpg
beijing,可月租/亦庄林肯附近/温馨主卧独卫/力宝广场/万源街地铁150米/大床独卫/可做饭/探亲访友旅游度假,"
                                        5.0
                                    ",1室,单间出租,宜住2人,￥280,//pics.muniao.com//UploadFiles/root/thumb/240603/ba58675c22264832941e7dc24846da0a.jpg_414_262.jpg
beijing,大族附近荣京丽都/荣京东街地铁附近大床房整租可长租,"
                                        5.0
                                    ",1室,整租,宜住2人,￥438,//pics.muniao.com//UploadFiles/root/thumb/240603/f40cbf935d2a455b97777f9429a92c8e.jpg_414_262.jpg
beijing,近天·安门、故·宫地铁6站到达 天坛公园三站地到达 下楼两分钟到七号线地,"
                                        5.0
                                    ",4室,整租,宜住10人,￥2200,//pics.muniao.com//UploadFiles/root/thumb/240603/5e5280a68d9d42dabfdbbed3f1fcb550.jpg_414_262.jpg
beijing,近天·安门、故·宫、天坛公园、龙潭公园、王府井、国贸、协和、离地铁站300米,"
                                        5.0
                                    ",4室,整租,宜住8人,￥1800,//pics.muniao.com//UploadFiles/root/thumb/240603/d44f02a3823b44e5aa7a3d0575c438ca.jpg_414_262.jpg
beijing,近天·安门、故·宫、大栅栏、环球影城、龙潭公园、国贸、三里屯太古里、广渠门地铁站,"
                                        5.0
                                    ",3室,整租,宜住6人,￥1800,//pics.muniao.com//UploadFiles/root/thumb/240603/99485a807e3b4822bf9a9049b634b47d.jpg_414_262.jpg
beijing,时代广场05,"
                                        5.0
                                    ",1室,整租,宜住2人,￥300,//pics.muniao.com//UploadFiles/root/room/1198422/thumb/ff11edf2aef342d98bd8d8e7f005cb7a.jpg_414_262.jpg
beijing,青睐-【哈曼卡顿星球】哈曼卡顿琉璃三代音响/极米4K投影仪/可做饭/百子湾/双井劲松/欢乐谷/天坛公,"
                                        5.0
                                    ",1室,整租,宜住1人,￥586,//pics.muniao.com//UploadFiles/root/thumb/240603/528204b1a26c48c5bc27719c4fda6540.jpg_414_262.jpg
beijing,天空之镜10居丨泳池丨KTV、烧烤丨行政大厅丨棋牌茶室丨星空露台丨伴手礼丨赠饮、牛奶、水果丨超大客房,"
                                        5.0
                                    ",10室,整租,宜住22人,￥10000,//pics.muniao.com//UploadFiles/root/thumb/240603/b35079c924d947c1b371bf033065d33d.jpg_414_262.jpg
beijing,2亩大型户外丨恒温泳池、温泉丨草坪婚礼丨露营、烧烤丨k歌麻将游戏机丨云梦仙境、幽谷神潭、滑雪场,"
                                        5.0
                                    ",5室,整租,宜住15人,￥6000,//pics.muniao.com//UploadFiles/root/thumb/240603/a2459644e7cb47debe9bc711d1be86c3.jpg_414_262.jpg
beijing,近10号线近商圈温馨私享Loft复式,"
                                        5.0
                                    ",1室,整租,宜住2人,￥200,//pics.muniao.com//UploadFiles/root/thumb/240603/fe6321b933194142b84f7f87f20e9802.jpg_414_262.jpg
beijing,树语6居丨恒温泳池丨客房私汤丨咖啡丨KTV台球麻将桌游丨烧烤、餐饮定制丨儿童娱乐区丨雁栖湖、慕田峪,"
                                        5.0
                                    ",6室,整租,宜住20人,￥6000,//pics.muniao.com//UploadFiles/root/thumb/240603/f54b2b3c06b74477ab4e0c3072ecb386.jpg_414_262.jpg
beijing,慕田峪长城丨星空泳池丨天然山泉水私汤丨草坪婚礼、团建会议丨KTV德州桌游街机麻将丨烧烤丨星空露台,"
                                        5.0
                                    ",14室,整租,宜住29人,￥10000,//pics.muniao.com//UploadFiles/root/thumb/240603/331eda240f1a4f9c914c5b616efc220a.jpg_414_262.jpg
beijing,『鹿缘·环游花语』轻奢loft 近商超 近北苑立水桥天通苑回龙观望京清华长庚航空总温榆河千灯会龙湖天,"
                                        5.0
                                    ",3室,整租,宜住6人,￥982,//pics.muniao.com//UploadFiles/root/thumb/240603/ef3c44cc957e4ebbb175823a9a623b3e.jpg_414_262.jpg
beijing,近北京市朝阳区建华南路临近长安街，天安门北京站都近（客厅中有张床）,"
                                        5.0
                                    ",1室,整租,宜住6人,￥1000,//pics.muniao.com//UploadFiles/root/room/1198363/thumb/fddab0e0ca3e44f09d2e9280f3095cab.jpg_414_262.jpg
beijing,绿氧空间二号院北欧风情榻榻米,"
                                        5.0
                                    ",4室,单间出租,宜住2人,￥339,//pics.muniao.com//UploadFiles/root/thumb/240603/f421e7893e0d47b5b8731ac7081dd627.jpg_414_262.jpg
beijing,绿氧空间二号院隐宿地中海风格家庭房,"
                                        5.0
                                    ",4室,单间出租,宜住4人,￥459,//pics.muniao.com//UploadFiles/root/thumb/240603/e7c37bfa57d545e6af282982adb026d0.jpg_414_262.jpg
beijing,近北京站，天安门，王府井，儿研所，去哪都方便，交通便利/客厅有,"
                                        5.0
                                    ",1室,整租,宜住6人,￥800,//pics.muniao.com//UploadFiles/root/thumb/240603/14cd7dbc3a1e400e9daf0dc0f63aef63.jpg_414_262.jpg
